,countrykey,year,countryname,agriculture,elec,slums,tax,mobile,internet,agriculture_gdp,services_gdp,gdp,gdp_growth,gdppc,urban,oil,natural,literacy,prim_compl,enrl_gross,enrl_net,edu_expenses,mortality_child,mortality_neo,hospitalbeds,tub,health_gdp,inc_b10,unempl,lifeexp,life_pol,life_rel,qual_ind,qual_manners,qual_tol,qual_faith,qual_obd,trust,order_freedom,dem_order,traditional_rational,surv_self,wvs_wave,polity,un_region_name,un_continent_name,democracy,id
123,POL,2005,Poland,51.924395,100,NA,16.51704,76.028061,38.81,2.897923,56.149113,3.06E+11,3.4936585,8021.0037,61.45199966,0.06029768,1.3705694,NA,94.632698,94.540802,93.215714,93.119743,NA,4.6,5.2,25,5.8072718,3.1,17.75,74.995122,2.9166667,1.6902834,0.415,NA,0.843,0.461,0.486,1.8052356,NA,NA,0.54046794,0.6461979,5,10,Eastern Europe,Europe,1,136
124,RUS,1990,Russian Federation,NA,100,NA,NA,0,0,15.461037,32.612077,5.17E+11,-2.9999956,3485.1123,73.39399719,9.7755642,14.191262,NA,NA,107.9247,NA,NA,5.1,11,13.0553,NA,NA,NA,NA,68.886098,2.7144385,2.8844687,0.29168791,NA,0.70168281,0.08006119,0.25854156,1.6254125,NA,NA,1.0116116,0.43371511,2,NA,Eastern Europe,Europe,0,141
125,RUS,1995,Russian Federation,13.21254,100,NA,NA,0.05969836,0.14815104,6.6923346,52.229611,3.96E+11,-4.1435284,2665.7397,73.37200165,4.1008931,7.9257309,NA,92.087967,107.81128,93.251472,NA,NA,11,11.87,NA,NA,NA,9.6599998,64.690732,2.9307958,2.6775984,0.27794118,NA,0.69460784,0.09411765,0.34019608,1.7606061,1.5483029,2.1300058,0.95569796,0.48588135,3,3,Eastern Europe,Europe,0,141
126,RUS,2006,Russian Federation,13.157371,100,NA,16.568216,105.12902,18.023277,3.8613125,49.721476,9.90E+11,8.153432,6920.1944,73.50800323,12.754435,19.479544,NA,NA,95.048759,92.823112,NA,NA,6,9.7,88,5.1038782,2.3,7.1599998,66.727561,2.8091139,2.581095,0.42646335,NA,0.6758485,0.10477127,0.36596163,1.7326681,NA,NA,0.81040949,0.49343287,5,6,Eastern Europe,Europe,0,141
127,RWA,2007,Rwanda,73.160924,11.20083,68.3,NA,6.7228747,2.1153872,31.283225,48.086006,3.83E+09,7.633287,404.85079,21.08499908,0,6.5099757,NA,NA,148.12419,NA,94.45459,NA,27.4,1.6,98,8.678315,NA,2.2219999,58.971,2.2387597,1.6535904,0.25613802,NA,0.63769078,0.37624419,0.78832117,1.9513009,NA,NA,0.36530172,0.38084514,5,-3,Eastern Africa,Africa,0,142
128,SAU,2003,Saudi Arabia,80.847936,NA,NA,NA,32.089411,8.0015829,4.504505,40.876876,2.16E+11,11.242061,9567.4583,80.52999878,34.282281,34.709399,NA,NA,NA,NA,NA,NA,10.4,NA,17,4.0019984,NA,5.5599999,72.948,2.3488534,1.1362725,0.69973369,NA,0.56391478,0.7057257,0.66644474,1.4696017,NA,2.6440816,NA,NA,4,-10,Western Asia,Asia,0,143
129,SGP,2002,Singapore,1.7777778,100,NA,12.77107,80.194461,47,0.07131147,64.062786,9.19E+10,4.2116866,22016.833,100,0,0.0004368,NA,NA,NA,NA,NA,NA,1.4,NA,42,3.3802512,NA,5.6500001,78.55122,2.5994677,1.6348575,0.7228836,NA,0.68981481,0.4728836,0.4702381,1.8529412,NA,NA,0.54130012,0.53665318,4,-2,South-Eastern Asia,Asia,0,146
130,SLV,1999,El Salvador,71.476834,79.129592,NA,10.431757,8.7785165,0.84542874,7.9337316,57.883786,1.13E+10,2.1605167,1937.139,58.35699844,0,0.50191106,NA,NA,113.06628,NA,NA,NA,15.2,NA,NA,NA,0.5,6.6799998,68.541,2.838223,1.2003205,0.35645933,NA,0.5877193,0.66985646,0.62360447,1.853719,NA,3,NA,NA,3,7,Central America,Americas,1,149
131,SVK,1998,Slovak Republic,50.790021,100,NA,20.108856,8.6254326,2.6898098,4.6887958,53.889062,2.98E+10,4.0118137,5533.5888,56.35499954,0.00245121,0.31826923,NA,98.030571,101.18277,NA,NA,NA,5.7,8,NA,NA,NA,12.19,72.55122,2.9331476,2.4003742,0.22374429,NA,0.57077626,0.28219178,0.26849315,1.7296261,1.2270577,2.679602,0.89101521,0.64924701,3,9,Eastern Europe,Europe,1,154
132,SVN,1995,Slovenia,26.713009,100,NA,19.497763,1.3708955,2.8989856,3.6807011,52.366391,2.13E+10,NA,10690.665,50.61600113,0.00047776,0.19346807,NA,93.846321,96.502876,92.867867,NA,NA,4.1,5.75,NA,NA,NA,7.1500001,73.958537,3.1996008,2.6218656,0.71300894,NA,0.71996028,0.19165839,0.28202582,1.8446014,1.4396186,2.4421169,1.0064654,0.74395595,3,10,Southern Europe,Europe,1,155
133,SVN,2005,Slovenia,25.273088,100,NA,21.067201,88.125469,46.81,2.2850511,55.638158,3.64E+10,4.0030074,18169.181,50.50099945,0.00015849,0.18880357,NA,NA,100.12898,98.687447,90.028198,NA,2.5,4.8,15,7.9650421,4,6.5100002,77.612195,3.1883495,2.6783969,0.83220829,NA,0.75024108,0.16297011,0.31340405,1.8188188,NA,NA,0.9940944,0.93165651,5,10,Southern Europe,Europe,1,155
134,SWE,1996,Sweden,8.0348004,100,NA,27.453423,28.128979,9.0435998,2.1951062,59.038625,2.88E+11,1.5178612,32587.264,83.91400146,0,0.3189079,NA,NA,104.38481,99.803452,NA,NA,2.6,4.4000001,NA,NA,NA,9.5500002,78.959024,2.5332671,2.8828829,0.60654113,NA,0.90386521,0.04757185,0.15857284,1.4033438,1.5306346,3.084728,1.1847647,1.4475382,3,10,Northern Europe,Europe,1,156
135,SWE,2006,Sweden,7.7082419,100,NA,28.49235,105.61479,87.76,1.1928698,60.351182,4.20E+11,4.6881272,46256.472,84.43000031,0,0.57678357,NA,95.601189,95.648087,95.078796,93.693802,NA,1.8,NA,6.2,8.1610645,3.6,7.0500002,80.74878,2.2941176,2.9128257,0.78265204,NA,0.93619143,0.05782652,0.16151545,1.3198339,NA,NA,1.3177246,1.6540254,5,10,Northern Europe,Europe,1,156
136,THA,2007,Thailand,38.755897,94.422844,26.5,15.143147,80.02644,20.03,9.3506092,51.10323,2.63E+11,5.4350926,3972.2065,40.10400009,1.3091721,2.4471647,NA,NA,101.34082,98.461243,NA,NA,10,NA,205,3.397322,2.7,1.1799999,72.915,1.9954098,1.4986894,0.48174707,NA,0.57953064,0.2946545,0.53780965,1.584918,NA,NA,0.39766255,0.48404139,5,-1,South-Eastern Asia,Asia,0,162
137,TTO,2006,Trinidad and Tobago,10.526316,96.190331,NA,30.257588,116.5489,30.003749,0.56687699,43.127929,1.84E+10,13.208058,14095.963,9.734999657,11.566567,21.436304,NA,NA,NA,NA,NA,NA,16.8,2.7,20,4.214148,NA,6.27,69.06,2.8879919,1.3343343,0.55189621,NA,0.82035928,0.67265469,0.72055888,1.962,NA,NA,0.33495089,0.54779682,5,10,Caribbean,Americas,1,166
138,TUR,1990,Turkey,51.553344,88.781136,23.4,11.558331,0.05899109,0,17.476229,48.054344,1.51E+11,9.2661467,2794.3536,59.20299911,0.25151952,0.59228033,79.232452,94.872307,106.02835,96.021339,NA,9.1,32.7,2.4000001,NA,NA,NA,NA,64.256,2.9970238,1.5982318,0.19223301,NA,0.69126214,0.44174757,0.31359223,1.9001976,NA,NA,0.75653012,0.56711683,2,9,Western Asia,Asia,1,168
139,TUR,1996,Turkey,51.146655,92.523079,NA,15.199521,1.3569429,0.19272494,16.854556,49.422977,1.82E+11,7.3796645,3053.9508,62.65299988,0.13054673,0.34988239,NA,NA,NA,NA,NA,NA,23.7,2.5,NA,NA,NA,6.6300001,67.57,2.4664554,1.3609654,0.21394861,NA,0.61300472,0.42108023,0.318301,1.9450317,1.2375271,2.8392205,NA,NA,3,8,Western Asia,Asia,1,168
140,TUR,2001,Turkey,53.230773,95.260521,NA,NA,30.491428,5.1894815,8.8538311,54.732438,2.00E+11,-5.9623107,3119.6032,65.33200073,0.10355348,0.29676504,NA,NA,105.70034,96.39444,86.170914,NA,17.9,2.5999999,31,4.9244433,NA,8.3800001,70.571,2.7807487,1.3522828,0.1725963,NA,0.63981182,0.41252573,0.37606586,1.807049,NA,2.7004593,NA,NA,4,7,Western Asia,Asia,1,168
